Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Study_Efficiency,Attendance_Level,Engagement_Score,Cumulative_Score,Cumulative_Percentage,ABC_Segment,Score_Stability,XYZ_Segment,R_Score,F_Score,M_Score,R_Quartile,F_Quartile,M_Quartile,RFM_Score,RFM_Segment
21,92,High,High,Yes,9,58,Medium,Yes,2,High,Medium,Public,Neutral,5,No,High School,Moderate,Female,76,2.6363636363636362,High,57.1,836,0.18846444311687727,A,-0.46341769281246226,X,4.2,6.699999999999999,7.6,1,4,4,144,Champions
10,76,Medium,Low,No,6,76,Medium,Yes,1,High,High,Public,Negative,2,No,Postgraduate,Near,Male,76,6.909090909090909,Medium,56.2,912,0.20559757430932066,A,-0.46572975357025687,X,2.4,4.8,7.6,3,1,4,314,Potential Stars
34,97,High,High,Yes,10,91,Medium,Yes,2,Low,Medium,Public,Positive,3,No,High School,Moderate,Female,76,2.6,High,75.69999999999999,988,0.22273070550176402,A,0.24196227156603412,X,0.9,8.25,7.6,4,4,4,444,Champions
21,74,High,Medium,No,6,94,Medium,Yes,1,Low,High,Public,Positive,1,No,High School,Near,Male,76,4.2727272727272725,Medium,66.1,1064,0.2398638366942074,A,-1.913280244657798,Z,0.6,5.800000000000001,7.6,4,2,4,424,Potential Stars
34,94,High,Medium,Yes,8,52,High,Yes,1,Low,Medium,Private,Positive,3,No,Postgraduate,Near,Male,76,1.4857142857142858,High,59.2,1140,0.25699696788665083,A,-1.7249178325130328,Z,4.8,8.1,7.6,1,4,4,144,Champions
24,77,High,Medium,Yes,7,57,Medium,Yes,3,Medium,High,Public,Positive,2,No,College,Far,Male,76,2.28,Medium,53.099999999999994,1216,0.2741300990790942,A,-0.5622875292409727,Y,4.3,6.25,7.6,1,3,4,134,Champions
32,97,High,Low,Yes,5,97,Low,Yes,1,Low,High,Public,Positive,5,No,College,Moderate,Female,76,2.9393939393939394,High,77.5,1292,0.2912632302715376,A,-1.0128311203344238,Z,0.3,8.05,7.6,4,4,4,444,Champions
27,97,High,High,No,8,72,Medium,Yes,6,Low,Medium,Public,Neutral,2,No,College,Near,Female,76,2.5714285714285716,High,66.0,1368,0.308396361463981,A,0.3142473325952739,X,2.8,7.55,7.6,2,4,4,244,Champions
21,70,High,High,No,9,66,Medium,Yes,1,Medium,Low,Public,Neutral,4,No,College,Moderate,Male,76,3.0,Medium,53.7,1444,0.32552949265642434,A,-0.9080240755212109,Y,3.4,5.6,7.6,2,2,4,224,Potential Stars
29,76,Medium,Medium,No,8,96,Low,Yes,2,Low,Medium,Public,Positive,2,No,Postgraduate,Moderate,Male,76,3.2,Medium,69.9,1520,0.34266262384886775,A,-1.4123037013352915,Z,0.4,6.699999999999999,7.6,4,4,4,444,Champions
28,96,High,Low,Yes,4,98,High,Yes,1,High,High,Public,Positive,3,No,High School,Near,Male,76,3.3793103448275863,High,76.4,1596,0.35979575504131117,A,1.465648768921554,Z,0.2,7.6,7.6,4,4,4,444,Champions
29,93,High,High,No,7,74,Medium,Yes,3,Medium,High,Private,Positive,3,No,High School,Near,Male,76,2.466666666666667,High,66.19999999999999,1672,0.37692888623375453,A,-0.22577630048653566,X,2.6,7.550000000000001,7.6,2,4,4,244,Champions
27,90,Low,Medium,No,9,52,Low,No,2,Low,High,Public,Positive,2,Yes,College,Near,Male,76,1.8571428571428572,High,55.900000000000006,1748,0.39406201742619784,A,0.06752820468792384,X,4.8,7.2,7.6,1,4,4,144,Champions
23,83,High,High,Yes,4,89,Low,Yes,1,Medium,Medium,Public,Negative,3,No,High School,Far,Male,76,3.7083333333333335,Medium,67.4,1824,0.4111951486186413,A,-1.4247481862134568,Z,1.1,6.45,7.6,4,3,4,434,Champions
18,86,High,Medium,No,8,60,Medium,Yes,2,Low,High,Private,Neutral,1,No,College,Near,Male,76,3.1578947368421053,Medium,55.2,1900,0.4283282798110847,A,-0.5443827245251827,Y,4.0,6.1,7.6,1,3,4,134,Champions
19,68,Medium,Medium,Yes,5,80,Medium,Yes,0,Medium,Medium,Public,Neutral,3,Yes,High School,Moderate,Male,76,4.0,Low,58.099999999999994,1976,0.44546141100352804,A,0.11092258970986608,X,2.0,5.3,7.6,3,1,4,314,Potential Stars
34,77,High,High,Yes,8,89,Medium,Yes,5,High,Medium,Public,Positive,4,No,College,Near,Female,76,2.5428571428571427,Medium,68.9,2052,0.46259454219597146,A,-1.1509935774223028,Z,1.1,7.25,7.6,4,4,4,444,Champions
7,69,Medium,High,Yes,8,54,High,Yes,1,Medium,High,Public,Positive,2,No,High School,Far,Male,76,6.75,Low,44.400000000000006,2128,0.4797276733884148,A,0.37569801834567196,X,4.6,4.15,7.6,1,1,4,114,Potential Stars
24,96,Low,High,No,6,93,Medium,Yes,2,Low,Medium,Public,Neutral,2,No,High School,Moderate,Female,76,3.72,High,73.2,2204,0.4968608045808582,A,-0.600638689918805,Y,0.7,7.199999999999999,7.6,4,4,4,444,Champions
11,71,Low,Medium,Yes,8,55,Medium,Yes,1,Low,Medium,Public,Negative,3,No,College,Near,Female,76,4.583333333333333,Medium,46.6,2280,0.5139939357733017,A,-0.2916937497932768,X,4.5,4.65,7.6,1,1,4,114,Potential Stars
11,62,High,Medium,Yes,7,76,High,Yes,3,High,Medium,Private,Neutral,3,Yes,High School,Moderate,Male,76,6.333333333333333,Low,52.3,2356,0.531127066965745,A,-0.6017066122293969,Y,2.4,4.2,7.6,3,1,4,314,Potential Stars
14,75,Medium,Medium,Yes,5,95,Medium,Yes,0,Medium,Medium,Public,Positive,3,No,College,Moderate,Male,76,6.333333333333333,Medium,64.7,2432,0.5482601981581884,A,1.8522781845089378,Z,0.5,5.15,7.6,4,1,4,414,Potential Stars
19,90,Medium,High,Yes,5,90,Low,Yes,0,Low,Medium,Public,Neutral,2,No,College,Far,Female,76,4.5,High,68.7,2508,0.5653933293506318,A,-0.013497224737933921,X,1.0,6.4,7.6,4,3,4,434,Champions
7,63,High,High,Yes,10,90,Medium,Yes,0,Low,Medium,Private,Positive,2,Yes,High School,Moderate,Male,76,11.25,Low,57.0,2584,0.5825264605430752,A,-1.0577109289559004,Z,1.0,3.8499999999999996,7.6,4,1,4,414,Potential Stars
30,98,High,High,Yes,8,83,High,No,1,Low,High,Public,Neutral,3,No,High School,Near,Female,76,2.6774193548387095,High,71.6,2660,0.5996595917355185,A,0.822544912103189,Y,1.7,7.9,7.6,3,4,4,344,Champions
34,96,High,Medium,Yes,7,63,Medium,Yes,0,Medium,High,Private,Positive,4,No,High School,Near,Male,76,1.8,High,64.2,2736,0.616792722927962,A,-1.2208436499710222,Z,3.7,8.2,7.6,2,4,4,244,Champions
34,93,High,Medium,Yes,6,93,High,Yes,2,Low,High,Public,Neutral,4,No,High School,Near,Male,76,2.657142857142857,High,75.3,2812,0.6339258541204054,A,0.2088635950047554,X,0.7,8.05,7.6,4,4,4,444,Champions
20,65,Medium,Low,Yes,7,62,High,Yes,0,Medium,Medium,Public,Neutral,0,Yes,Postgraduate,Near,Male,76,2.9523809523809526,Low,50.3,2888,0.6510589853128487,A,-1.9596701238797756,Z,3.8,5.25,7.6,1,1,4,114,Potential Stars
16,76,Medium,High,Yes,6,63,High,Yes,0,Low,Medium,Public,Positive,1,No,High School,Near,Female,76,3.7058823529411766,Medium,52.800000000000004,2964,0.6681921165052921,A,-1.3281860488984305,Z,3.7,5.4,7.6,2,1,4,214,Potential Stars
18,93,Medium,Medium,No,7,76,Low,Yes,2,Medium,Medium,Private,Neutral,4,No,High School,Near,Female,76,4.0,High,63.7,3040,0.6853252476977355,A,0.19686123586912352,X,2.4,6.45,7.6,3,3,4,334,Champions
30,97,High,High,No,5,70,Medium,Yes,0,High,Medium,Public,Positive,2,No,Postgraduate,Near,Male,76,2.2580645161290325,High,66.1,3116,0.7024583788901788,A,0.7384665799954104,Y,3.0,7.85,7.6,2,4,4,244,Champions
14,90,High,High,Yes,8,86,Medium,Yes,4,Medium,Medium,Private,Negative,2,No,High School,Near,Female,76,5.733333333333333,High,65.6,3192,0.7195915100826223,A,0.1713682811899705,X,1.4,5.9,7.6,3,2,4,324,Potential Stars
32,98,Low,High,No,5,89,Medium,Yes,2,High,Low,Private,Positive,3,No,College,Near,Male,76,2.696969696969697,High,74.6,3268,0.7367246412750657,A,-0.11564828238824053,X,1.1,8.100000000000001,7.6,4,4,4,444,Champions
22,70,Low,Medium,No,7,53,Low,Yes,1,Low,Medium,Public,Positive,3,No,High School,Near,Female,76,2.3043478260869565,Medium,48.800000000000004,3344,0.7538577724675091,A,-0.3011036955892888,X,4.7,5.7,7.6,1,2,4,124,Potential Stars
22,71,Low,High,Yes,9,56,High,Yes,1,Low,High,Public,Neutral,3,Yes,College,Near,Female,76,2.4347826086956523,Medium,50.3,3420,0.7709909036599525,A,-1.4785219903674274,Z,4.4,5.75,7.6,1,2,4,124,Potential Stars
34,90,High,High,No,8,92,High,Yes,2,Medium,High,Private,Neutral,1,No,High School,Near,Female,76,2.6285714285714286,High,74.0,3496,0.7881240348523957,A,-0.7198442083947086,Y,0.8,7.9,7.6,4,4,4,444,Champions
15,83,Medium,Medium,No,7,97,Medium,Yes,2,Low,High,Private,Neutral,2,No,High School,Near,Female,76,6.0625,Medium,68.2,3572,0.8052571660448392,A,-0.4606387709597875,X,0.3,5.65,7.6,4,2,4,424,Potential Stars
18,87,Low,Low,No,8,79,High,Yes,1,Low,High,Public,Negative,4,No,College,Near,Male,76,4.157894736842105,Medium,63.099999999999994,3648,0.8223902972372826,A,1.0571222262189157,Z,2.1,6.1499999999999995,7.6,3,3,4,334,Champions
25,66,High,Medium,Yes,7,55,Medium,Yes,4,Medium,Medium,Public,Neutral,2,Yes,High School,Moderate,Female,76,2.1153846153846154,Low,49.3,3724,0.8395234284297259,A,0.3436182895684614,X,4.5,5.8,7.6,1,2,4,124,Potential Stars
29,94,High,Medium,No,7,79,Medium,Yes,6,Low,High,Private,Neutral,4,No,College,Near,Female,76,2.6333333333333333,High,68.5,3800,0.8566565596221694,A,-1.763040155362734,Z,2.1,7.6,7.6,3,4,4,344,Champions
28,90,Low,Medium,Yes,9,91,Medium,Yes,0,Medium,Medium,Public,Positive,2,No,College,Moderate,Female,76,3.1379310344827585,High,71.8,3876,0.8737896908146128,A,0.324083969394795,X,0.9,7.3,7.6,4,4,4,444,Champions
33,92,High,High,Yes,7,67,Low,Yes,6,High,Medium,Public,Positive,5,No,High School,Near,Female,76,1.9705882352941178,High,64.3,3952,0.8909228220070561,A,-0.38508228041631654,X,3.3,7.8999999999999995,7.6,2,4,4,244,Champions
21,74,High,Low,Yes,8,64,Medium,Yes,3,Low,Low,Public,Neutral,1,No,College,Far,Male,76,2.909090909090909,Medium,54.1,4028,0.9080559531994995,A,-0.6769220003059587,Y,3.6,5.800000000000001,7.6,2,2,4,224,Potential Stars
21,67,Medium,Medium,Yes,6,88,Medium,Yes,1,Low,Medium,Private,Positive,5,No,Postgraduate,Near,Female,76,4.0,Low,61.6,4104,0.9251890843919429,A,0.6116762888408679,Y,1.2,5.45,7.6,4,2,4,424,Potential Stars
18,89,High,Medium,Yes,4,73,Medium,Yes,3,High,Medium,Private,Positive,2,No,College,Near,Female,76,3.8421052631578947,Medium,61.300000000000004,4180,0.9423222155843862,A,1.030999522495951,Z,2.7,6.25,7.6,2,3,4,234,Champions
24,70,Medium,High,Yes,9,52,High,Yes,1,Low,Medium,Public,Positive,2,No,Postgraduate,Moderate,Male,76,2.08,Medium,49.0,4256,0.9594553467768296,A,0.9312801191161986,Y,4.8,5.9,7.6,1,2,4,124,Potential Stars
25,98,Medium,Medium,Yes,7,90,High,Yes,1,High,Low,Public,Neutral,4,No,Postgraduate,Near,Male,76,3.4615384615384617,High,72.9,4332,0.9765884779692732,A,-0.8392175232226385,Y,1.0,7.4,7.6,4,4,4,444,Champions
17,77,Low,High,Yes,5,53,Medium,Yes,2,High,Medium,Public,Neutral,3,No,College,Near,Male,76,2.9444444444444446,Medium,49.4,4408,0.9937216091617164,A,-0.3092123758512146,X,4.7,5.55,7.6,1,2,4,124,Potential Stars
26,69,High,High,No,7,95,Low,No,0,Medium,Medium,Public,Negative,3,No,Postgraduate,Near,Female,76,3.5185185185185186,Low,66.5,4484,1.01085474035416,A,0.33126343140356396,X,0.5,6.050000000000001,7.6,4,3,4,434,Champions
25,73,Medium,Medium,Yes,7,56,Medium,Yes,2,High,Medium,Public,Neutral,4,No,High School,Near,Female,76,2.1538461538461537,Medium,51.8,4560,1.0279878715466033,A,0.9755451271223592,Y,4.4,6.15,7.6,1,3,4,134,Champions
16,71,Low,Low,Yes,6,59,High,Yes,1,Low,High,Public,Positive,3,No,Postgraduate,Near,Male,76,3.4705882352941178,Medium,49.7,4636,1.0451210027390465,A,-0.47917423784528995,X,4.1,5.15,7.6,1,1,4,114,Potential Stars
28,99,High,Low,No,5,100,Medium,Yes,6,Medium,Medium,Private,Neutral,5,No,High School,Moderate,Female,76,3.4482758620689653,High,78.1,4712,1.06225413393149,A,-0.18565897666381712,X,0.0,7.75,7.6,4,4,4,444,Champions
30,98,Medium,High,Yes,7,96,Medium,Yes,1,Medium,Medium,Private,Neutral,3,No,Postgraduate,Near,Female,76,3.096774193548387,High,76.80000000000001,4788,1.0793872651239333,A,-1.1063349740060282,Z,0.4,7.9,7.6,4,4,4,444,Champions
6,88,Medium,High,Yes,4,72,High,Yes,3,Medium,Medium,Private,Negative,2,No,College,Near,Male,76,10.285714285714286,Medium,57.0,4864,1.0965203963163768,A,-1.1962066240806708,Z,2.8,5.0,7.6,2,1,4,214,Potential Stars
32,95,Medium,Medium,Yes,7,66,High,Yes,5,High,Medium,Private,Negative,3,No,College,Near,Male,76,2.0,High,64.5,4940,1.1136535275088202,A,0.812525822394198,Y,3.4,7.95,7.6,2,4,4,244,Champions
16,82,Medium,Medium,No,7,56,Low,Yes,0,High,High,Private,Negative,1,Yes,High School,Far,Female,76,3.2941176470588234,Medium,51.8,5016,1.1307866587012636,A,1.356240028570823,Z,4.4,5.699999999999999,7.6,1,2,4,124,Potential Stars
34,86,High,Medium,Yes,7,97,Medium,Yes,2,Medium,High,Public,Positive,1,No,High School,Near,Female,76,2.7714285714285714,Medium,74.80000000000001,5092,1.1479197898937068,A,-0.07201012158033385,X,0.3,7.699999999999999,7.6,4,4,4,444,Champions
19,70,Medium,Low,No,7,54,High,Yes,0,Medium,Medium,Public,Positive,2,Yes,High School,Moderate,Male,76,2.7,Medium,48.3,5168,1.1650529210861504,A,1.0035328978920242,Z,4.6,5.4,7.6,1,1,4,114,Potential Stars
31,100,Medium,Medium,No,7,59,Medium,Yes,2,High,High,Public,Positive,5,No,Postgraduate,Moderate,Male,76,1.84375,High,62.9,5244,1.1821860522785939,A,0.36163602504763415,X,4.1,8.1,7.6,1,4,4,144,Champions
25,99,Medium,Medium,Yes,7,77,Medium,Yes,0,High,High,Public,Neutral,3,No,High School,Near,Male,76,2.9615384615384617,High,68.0,5320,1.199319183471037,A,-0.6451197546051243,Y,2.3,7.45,7.6,3,4,4,344,Champions
18,61,Medium,Low,Yes,6,91,High,Yes,3,Medium,High,Public,Positive,3,No,College,Moderate,Female,76,4.7894736842105265,Low,60.099999999999994,5396,1.2164523146634805,A,0.36139560550841393,X,0.9,4.85,7.6,4,1,4,414,Potential Stars
34,99,High,High,Yes,7,85,Low,Yes,2,Medium,High,Private,Neutral,2,No,Postgraduate,Near,Female,76,2.4285714285714284,High,73.9,5472,1.233585445855924,A,1.5380365664659692,Z,1.5,8.35,7.6,3,4,4,344,Champions
26,100,High,High,Yes,6,76,High,Yes,0,Medium,High,Public,Negative,4,No,Postgraduate,Near,Male,76,2.814814814814815,High,68.2,5548,1.2507185770483673,A,-0.03582603910995154,X,2.4,7.6,7.6,3,4,4,344,Champions
29,96,High,Medium,No,8,85,Low,Yes,3,High,Medium,Public,Neutral,3,No,Postgraduate,Near,Male,76,2.8333333333333335,High,71.5,5624,1.2678517082408107,A,1.5646436558140062,Z,1.5,7.699999999999999,7.6,3,4,4,344,Champions
34,93,Medium,Medium,Yes,6,94,Medium,Yes,5,Medium,Medium,Public,Neutral,2,Yes,College,Near,Female,76,2.6857142857142855,High,75.69999999999999,5700,1.2849848394332541,A,-2.6197451040897444,Z,0.6,8.05,7.6,4,4,4,444,Champions
18,90,High,High,Yes,6,54,Low,Yes,1,Medium,High,Public,Negative,3,No,High School,Near,Female,76,2.8421052631578947,High,54.0,5776,1.3021179706256973,A,0.8219025043752238,Y,4.6,6.3,7.6,1,3,4,134,Champions
33,89,Low,Medium,No,8,99,Medium,Yes,2,High,High,Private,Positive,4,No,College,Moderate,Male,75,2.911764705882353,Medium,76.2,5851,1.3190256658813981,A,0.08704706823817122,X,0.1,7.75,7.5,4,4,4,444,Champions
29,97,Medium,High,Yes,9,92,Medium,Yes,2,Low,Medium,Public,Positive,4,No,High School,Moderate,Female,75,3.066666666666667,High,74.6,5926,1.3359333611370987,A,-0.29900735046586746,X,0.8,7.75,7.5,4,4,4,444,Champions
31,86,High,High,Yes,6,66,Medium,Yes,3,Medium,Medium,Public,Positive,3,No,College,Moderate,Male,75,2.0625,Medium,61.5,6001,1.3528410563927995,A,0.0917607765355023,X,3.4,7.4,7.5,2,4,4,244,Champions
28,89,Medium,High,Yes,10,97,High,Yes,3,Medium,Low,Public,Negative,6,No,High School,Near,Female,75,3.3448275862068964,Medium,73.9,6076,1.3697487516485003,A,-1.9875689146008928,Z,0.3,7.25,7.5,4,4,4,444,Champions
34,98,Low,Medium,No,6,94,Medium,Yes,2,Low,Low,Public,Negative,4,No,Postgraduate,Near,Female,75,2.6857142857142855,High,77.19999999999999,6151,1.3866564469042009,A,-0.21967188783751193,X,0.6,8.3,7.5,4,4,4,444,Champions
32,97,High,Medium,Yes,8,73,Medium,Yes,0,High,Medium,Public,Negative,3,No,College,Near,Female,75,2.212121212121212,High,67.9,6226,1.4035641421599017,A,0.3571125715117464,X,2.7,8.05,7.5,2,4,4,244,Champions
34,92,Medium,Medium,No,9,73,Medium,Yes,1,Medium,Medium,Public,Negative,4,No,Postgraduate,Moderate,Male,75,2.085714285714286,High,67.0,6301,1.4204718374156025,A,1.477894044741516,Z,2.7,8.0,7.5,2,4,4,244,Champions
32,95,Medium,High,Yes,9,58,Medium,Yes,2,Medium,Medium,Private,Positive,4,No,High School,Near,Male,75,1.7575757575757576,High,61.300000000000004,6376,1.4373795326713033,A,-0.5182702182736474,Y,4.2,7.95,7.5,1,4,4,144,Champions
28,91,High,Medium,No,7,98,Low,Yes,2,Low,Medium,Private,Positive,5,No,Postgraduate,Near,Male,75,3.3793103448275863,High,74.9,6451,1.4542872279270038,A,-0.8084936028931876,Y,0.2,7.35,7.5,4,4,4,444,Champions
18,97,Medium,High,Yes,7,93,Medium,Yes,5,High,Medium,Public,Positive,4,No,College,Near,Female,75,4.894736842105263,High,71.7,6526,1.4711949231827046,A,-0.5017570435845365,Y,0.7,6.6499999999999995,7.5,4,4,4,444,Champions
28,99,Medium,Medium,Yes,6,88,Medium,Yes,3,Low,Medium,Public,Positive,4,No,High School,Near,Female,75,3.0344827586206895,High,73.30000000000001,6601,1.4881026184384054,A,0.9154021177020741,Y,1.2,7.75,7.5,4,4,4,444,Champions
27,86,High,Medium,Yes,8,67,High,Yes,5,High,High,Public,Positive,2,Yes,Postgraduate,Near,Female,75,2.392857142857143,Medium,60.7,6676,1.505010313694106,A,0.32875110965968446,X,3.3,7.0,7.5,2,4,4,244,Champions
26,100,High,Medium,Yes,6,79,High,Yes,1,Medium,High,Public,Positive,3,No,College,Moderate,Male,75,2.925925925925926,High,69.4,6751,1.5219180089498068,A,-0.5297602037670388,Y,2.1,7.6,7.5,3,4,4,344,Champions
31,95,High,Medium,Yes,5,87,Medium,Yes,2,Low,Medium,Public,Neutral,3,No,Postgraduate,Moderate,Male,75,2.71875,High,72.6,6826,1.5388257042055073,A,0.5132674331133561,Y,1.3,7.85,7.5,3,4,4,344,Champions
28,98,High,Medium,Yes,7,86,Medium,Yes,2,Medium,High,Private,Neutral,2,No,High School,Near,Female,75,2.9655172413793105,High,72.19999999999999,6901,1.5557333994612081,A,0.09707754934804039,X,1.4,7.7,7.5,3,4,4,344,Champions
31,96,Medium,Medium,Yes,8,93,Low,Yes,3,Low,Medium,Public,Positive,3,No,High School,Near,Male,75,2.90625,High,75.3,6976,1.572641094716909,A,0.9686449905328892,Y,0.7,7.9,7.5,4,4,4,444,Champions
34,96,Medium,Medium,No,7,77,Medium,Yes,2,Medium,Medium,Public,Positive,3,No,High School,Moderate,Female,75,2.2,High,69.8,7051,1.5895487899726095,A,-0.7020530938773524,Y,2.3,8.2,7.5,3,4,4,344,Champions
24,98,Medium,High,No,8,61,Medium,Yes,6,Medium,High,Private,Positive,3,No,High School,Near,Female,75,2.44,High,61.0,7126,1.60645648522831,A,-0.3276621465977682,X,3.9,7.300000000000001,7.5,1,4,4,144,Champions
30,100,High,Medium,Yes,7,68,Low,Yes,2,Medium,Medium,Private,Neutral,2,No,Postgraduate,Near,Female,75,2.193548387096774,High,66.2,7201,1.623364180484011,A,-0.39210815313215763,X,3.2,8.0,7.5,2,4,4,244,Champions
31,96,High,Medium,Yes,4,59,Medium,Yes,3,Low,Medium,Private,Neutral,5,No,High School,Near,Female,75,1.84375,High,61.699999999999996,7276,1.6402718757397117,A,-1.4635149481321186,Z,4.1,7.9,7.5,1,4,4,144,Champions
34,82,Medium,High,Yes,9,87,High,Yes,3,Low,Medium,Public,Positive,4,No,High School,Near,Female,75,2.4857142857142858,Medium,69.6,7351,1.6571795709954125,A,0.29612027706457605,X,1.3,7.5,7.5,3,4,4,344,Champions
32,94,Medium,High,Yes,9,55,High,Yes,4,Medium,Medium,Private,Positive,2,Yes,High School,Near,Male,75,1.6666666666666667,High,59.8,7426,1.674087266251113,A,0.26105527217988933,X,4.5,7.9,7.5,1,4,4,144,Champions
28,94,Medium,High,Yes,7,80,Medium,Yes,3,Low,High,Public,Positive,4,No,Postgraduate,Far,Male,75,2.7586206896551726,High,68.6,7501,1.6909949615068138,A,0.00511345664246089,X,2.0,7.5,7.5,3,4,4,344,Champions
25,99,High,High,No,7,86,Low,No,3,Medium,Medium,Public,Positive,3,No,College,Near,Female,75,3.3076923076923075,High,71.6,7576,1.7079026567625146,A,-0.23458713337514692,X,1.4,7.45,7.5,3,4,4,344,Champions
33,93,High,Medium,No,7,96,Medium,Yes,1,Low,High,Public,Positive,1,No,Postgraduate,Moderate,Female,75,2.823529411764706,High,76.2,7651,1.7248103520182152,A,-1.4153707420504142,Z,0.4,7.95,7.5,4,4,4,444,Champions
33,93,Medium,Medium,Yes,6,96,High,Yes,0,Low,Medium,Private,Positive,4,No,Postgraduate,Far,Female,75,2.823529411764706,High,76.2,7726,1.7417180472739158,A,-0.42064532276535904,X,0.4,7.95,7.5,4,4,4,444,Champions
32,93,Medium,Medium,Yes,8,93,High,Yes,1,Medium,High,Public,Negative,3,No,Postgraduate,Far,Female,75,2.8181818181818183,High,74.7,7801,1.7586257425296168,A,-0.3427145165267695,X,0.7,7.8500000000000005,7.5,4,4,4,444,Champions
25,93,High,High,Yes,5,63,Medium,Yes,2,High,Medium,Public,Positive,2,No,Postgraduate,Near,Female,75,2.423076923076923,High,60.6,7876,1.7755334377853174,A,-0.8022772692216189,Y,3.7,7.15,7.5,2,4,4,244,Champions
22,97,High,Medium,Yes,5,68,Low,Yes,7,Medium,High,Private,Negative,5,No,College,Near,Female,75,2.9565217391304346,High,62.9,7951,1.792441133041018,A,-0.16128571166600914,X,3.2,7.05,7.5,2,4,4,244,Champions
34,98,Medium,High,No,7,79,Medium,Yes,1,Low,Medium,Private,Neutral,4,No,College,Near,Male,75,2.257142857142857,High,71.19999999999999,8026,1.809348828296719,A,0.4040508568145384,X,2.1,8.3,7.5,3,4,4,344,Champions
26,99,Low,High,Yes,4,91,High,Yes,2,High,Low,Public,Neutral,4,No,Postgraduate,Moderate,Female,75,3.3703703703703702,High,73.9,8101,1.8262565235524195,A,1.8861859012105302,Z,0.9,7.550000000000001,7.5,4,4,4,444,Champions
25,99,High,Medium,Yes,7,88,Medium,Yes,3,Low,Medium,Private,Positive,4,No,College,Moderate,Female,75,3.3846153846153846,High,72.4,8176,1.84316421880812,A,0.17457781283183896,X,1.2,7.45,7.5,4,4,4,444,Champions
30,100,High,High,No,6,75,Medium,Yes,0,Low,Medium,Public,Neutral,4,No,College,Moderate,Female,75,2.4193548387096775,High,69.0,8251,1.8600719140638207,A,0.25755039072276437,X,2.5,8.0,7.5,3,4,4,344,Champions
